id,kind,name,command,source,location,scope,enabled,trigger,category,risk,reversible,editable,removable,last_run,next_run,last_result,author
startup|user|startup-folder|9router,startup,9router,,startup-folder,C:\Users\Halley\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\9router.vbs,user,false,logon,unknown,medium,true,false,true,,,,
task|system|scheduled-task|AD RMS Rights Policy Template Management (Automated),task,AD RMS Rights Policy Template Management (Automated),COM handler {CF2CF428-325B-48D3-8CA8-7633E36E5A32},scheduled-task,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),system,false,logon,os,high,true,false,false,,2026-09-14T03:12:34.0000000+03:00,267011,Microsoft Corporation
task|system|scheduled-task|AD RMS Rights Policy Template Management (Manual),task,AD RMS Rights Policy Template Management (Manual),COM handler {BF5CB148-7C77-4D8A-A53E-D81C70CF743C},scheduled-task,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),system,true,logon,os,high,true,false,false,,,267011,Microsoft Corporation
task|user|scheduled-task|AutoClaw Launch At Login,task,AutoClaw Launch At Login,"""C:\Program Files\AutoClaw\AutoClaw.exe""",scheduled-task,\AutoClaw Launch At Login,user,true,logon,driver,medium,true,true,true,2026-09-13T07:36:48.0000000+03:00,,0,HP-WINDOWS\Halley
task|system|scheduled-task|Automatic-Device-Join,task,Automatic-Device-Join,%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2),scheduled-task,\Microsoft\Windows\Workplace Join\Automatic-Device-Join,system,false,logon,os,high,true,false,false,,,267011,
task|system|scheduled-task|AutomaticOfflineMemoryDiagnostic,task,AutomaticOfflineMemoryDiagnostic,COM handler {44F6C389-604A-4363-B09A-F38DA08E6079},scheduled-task,\Microsoft\Windows\MemoryDiagnostic\AutomaticOfflineMemoryDiagnostic,system,true,logon,os,high,true,false,false,2026-09-13T09:29:48.0000000+03:00,,2147746065,Microsoft Corporation
task|system|scheduled-task|CacheTask,task,CacheTask,COM handler {0358B920-0AC7-461F-98F4-58E32CD89148},scheduled-task,\Microsoft\Windows\Wininet\CacheTask,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,267009,Microsoft
task|system|scheduled-task|Calibration Loader,task,Calibration Loader,COM handler {B210D694-C8DF-490D-9576-9E20CDBC20BD},scheduled-task,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,0,Microsoft Corporation
startup|system|registry-run|CloudflareWARP,startup,CloudflareWARP,C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe,registry-run,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\sweep-disabled,system,false,logon,third-party,low,true,true,true,,,,
task|system|scheduled-task|Data Integrity Check And Scan,task,Data Integrity Check And Scan,COM handler {DCFD3EA8-D960-4719-8206-490AE315F94F},scheduled-task,\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan,system,true,boot,os,high,true,false,false,,2026-09-13T23:06:23.0000000+03:00,267011,Microsoft Corporation
task|system|scheduled-task|Device Install Reboot Required,task,Device Install Reboot Required,COM handler {48794782-6A1F-47B9-BD52-1D5F95D49C1B},scheduled-task,\Microsoft\Windows\Plug and Play\Device Install Reboot Required,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|DirectXDatabaseUpdater,task,DirectXDatabaseUpdater,%windir%\system32\directxdatabaseupdater.exe,scheduled-task,\Microsoft\Windows\DirectX\DirectXDatabaseUpdater,system,true,logon,updater,low,true,false,false,2026-09-13T07:53:59.0000000+03:00,,0,
task|system|scheduled-task|Driver Recovery on Reboot,task,Driver Recovery on Reboot,COM handler {452F6DDC-7930-4B57-8794-19CD7420241D},scheduled-task,\Microsoft\Windows\Device Setup\Driver Recovery on Reboot,system,false,boot,driver,medium,true,false,false,,,267011,"$(@%SystemRoot%\system32\DeviceSetupManagerAPI.dll,-600)"
task|system|scheduled-task|DXGIAdapterCache,task,DXGIAdapterCache,%windir%\system32\dxgiadaptercache.exe,scheduled-task,\Microsoft\Windows\DirectX\DXGIAdapterCache,system,true,boot,os,high,true,false,false,2026-09-13T07:37:38.0000000+03:00,,0,
task|system|scheduled-task|ExploitGuard MDM policy Refresh,task,ExploitGuard MDM policy Refresh,COM handler {711001CD-CC1D-4470-9B7E-1EF73849C79E} ExploitGuardPolicy,scheduled-task,\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,system,true,boot,os,high,true,false,false,2026-09-13T09:31:09.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|InitialConfiguration~3308925c,task,InitialConfiguration,COM handler {709FD5EF-7296-4154-BD3A-E9830FCFA60A},scheduled-task,\Microsoft\Windows\WindowsAI\Recall\InitialConfiguration,system,false,boot,os,high,true,false,false,2026-07-07T10:34:09.0000000+03:00,,0,
task|system|scheduled-task|InitialConfiguration~8682c9e2,task,InitialConfiguration,COM handler {2886E5FB-4F01-4A89-9A0E-5D6A9C8048AC},scheduled-task,\Microsoft\Windows\WindowsAI\Settings\InitialConfiguration,system,true,boot,os,high,true,false,false,2026-09-13T07:41:39.0000000+03:00,,0,
task|system|scheduled-task|Installation,task,Installation,COM handler {6F58F65F-EC0E-4ACA-99FE-FC5A1A25E4BE} Install $(Arg0),scheduled-task,\Microsoft\Windows\LanguageComponentsInstaller\Installation,system,true,logon,os,high,true,false,false,2026-09-12T17:45:26.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|KeyPreGenTask,task,KeyPreGenTask,COM handler {47E30D54-DAC1-473A-AFF7-2355BF78881F} NGCKeyPregen,scheduled-task,\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask,system,true,logon,os,high,true,false,false,2026-09-13T07:36:45.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|License Validation,task,License Validation,%SystemRoot%\system32\ClipUp.exe -p -s -o,scheduled-task,\Microsoft\Windows\Clip\License Validation,system,false,boot,os,high,true,false,false,,,267011,Microsoft Corporation
task|system|scheduled-task|LicenseImdsIntegration,task,LicenseImdsIntegration,%SystemRoot%\system32\fclip.exe,scheduled-task,\Microsoft\Windows\Clip\LicenseImdsIntegration,system,false,logon,os,high,true,false,false,,2026-09-14T08:38:58.0000000+03:00,267011,"$(@%SystemRoot%\system32\fclip.exe,-100)"
task|system|scheduled-task|LoginCheck,task,LoginCheck,%windir%\system32\sc.exe start pushtoinstall login,scheduled-task,\Microsoft\Windows\PushToInstall\LoginCheck,system,true,logon,driver,medium,true,false,false,2026-09-13T09:36:48.0000000+03:00,,0,
task|system|scheduled-task|Logon,task,Logon,%windir%\system32\ProvTool.exe /turn 5 /source LogonIdleTask,scheduled-task,\Microsoft\Windows\Management\Provisioning\Logon,system,true,logon,os,high,true,false,false,2026-09-12T16:39:24.0000000+03:00,,0,
task|system|scheduled-task|Logon Synchronization,task,Logon Synchronization,COM handler {FA3F3DD9-4C1A-456B-A8FA-C76EF3ED83B8} Logon,scheduled-task,\Microsoft\Windows\Offline Files\Logon Synchronization,system,false,logon,os,high,true,false,false,,,267011,Microsoft Corporation
startup|user|registry-run|Lunar Client,startup,Lunar Client,"""C:\Users\Halley\AppData\Local\Programs\Lunar Client\Lunar Client.exe"" --hidden",registry-run,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\sweep-disabled,user,false,logon,third-party,low,true,true,true,,,,
task|system|scheduled-task|MdmDiagnosticsCleanup,task,MdmDiagnosticsCleanup,%windir%\system32\MdmDiagnosticsTool.exe /clean,scheduled-task,\Microsoft\Windows\Management\Provisioning\MdmDiagnosticsCleanup,system,false,boot,os,high,true,false,false,,,267011,
task|system|scheduled-task|Microsoft-Windows-DiskDiagnosticResolver,task,Microsoft-Windows-DiskDiagnosticResolver,%windir%\system32\DFDWiz.exe,scheduled-task,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver,system,false,logon,os,high,true,false,false,,,267011,Microsoft Corporation
task|system|scheduled-task|MicrosoftEdgeUpdateTaskMachineCore{1EE5A05F-223A-4C68-8E63-94D09F0C8D96},task,MicrosoftEdgeUpdateTaskMachineCore{1EE5A05F-223A-4C68-8E63-94D09F0C8D96},C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c,scheduled-task,\MicrosoftEdgeUpdateTaskMachineCore{1EE5A05F-223A-4C68-8E63-94D09F0C8D96},system,false,logon,updater,low,true,true,false,2026-07-26T17:46:45.0000000+03:00,2026-09-13T14:57:11.0000000+03:00,0,
task|system|scheduled-task|Monitoring,task,Monitoring,%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd,scheduled-task,\Microsoft\Windows\Hotpatch\Monitoring,system,true,logon,os,high,true,false,false,2026-09-12T17:14:49.0000000+03:00,2026-09-14T03:27:20.0000000+03:00,0,
startup|user|registry-run|Mozilla-Firefox-308046B0AF4A39CB,startup,Mozilla-Firefox-308046B0AF4A39CB,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -os-autostart",registry-run,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\sweep-disabled,user,false,logon,third-party,low,true,true,true,,,,
task|system|scheduled-task|MsCtfMonitor,task,MsCtfMonitor,COM handler {01575CFE-9A55-4003-A5E1-F38D1EBDCBE1},scheduled-task,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,0,
task|system|scheduled-task|NcsiIdentifyUserProxies,task,NcsiIdentifyUserProxies,COM handler {706B965A-8308-4CD4-9900-87C2D79C121B},scheduled-task,\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,0,
task|system|scheduled-task|PITRTask,task,PITRTask,COM handler {093CB270-C282-4C22-B2EA-7D2BF1C30BBF},scheduled-task,\Microsoft\Windows\Setup\PITRTask,system,true,boot,os,high,true,false,false,2026-09-12T17:13:48.0000000+03:00,2026-09-13T17:13:52.0000000+03:00,0,
task|system|scheduled-task|Pre-staged app cleanup,task,Pre-staged app cleanup,"%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask",scheduled-task,\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup,system,false,logon,os,high,true,false,false,2026-07-08T15:31:16.0000000+03:00,,0,
task|system|scheduled-task|Proxy,task,Proxy,"%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations",scheduled-task,\Microsoft\Windows\Autochk\Proxy,system,true,boot,os,high,true,false,false,2026-09-12T17:13:48.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|QueueReporting,task,QueueReporting,%windir%\system32\wermgr.exe -upload,scheduled-task,\Microsoft\Windows\Windows Error Reporting\QueueReporting,system,true,boot,os,high,true,false,false,2026-09-13T09:32:48.0000000+03:00,2026-09-13T11:29:31.0000000+03:00,0,Microsoft Corporation
task|user|scheduled-task|Raycast Open at Login,task,Raycast Open at Login,"C:\Users\Public\Raycast\Raycast.StartupLauncher.exe ""C:\Program Files\WindowsApps\Raycast.Raycast_2.1.3.0_x64__qypenmj9wpt2a\Raycast\Raycast.exe"" ""Raycast.Raycast_qypenmj9wpt2a!Raycast"" --silent-restart",scheduled-task,\Raycast\Raycast Open at Login,user,true,logon,driver,medium,true,true,true,2026-09-13T07:36:48.0000000+03:00,,0,Raycast
task|system|scheduled-task|RecommendedTroubleshootingScanner,task,RecommendedTroubleshootingScanner,COM handler {AD08DCC2-4E35-4486-9D49-547CBD30942D},scheduled-task,\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,system,true,boot,os,high,true,false,false,2026-07-07T10:35:54.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|ReconcileLanguageResources,task,ReconcileLanguageResources,COM handler {D0582E3B-3126-4CAA-9155-AC37C912A489},scheduled-task,\Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources,system,true,logon,driver,medium,true,false,false,2026-09-12T07:47:26.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|Recovery-Check,task,Recovery-Check,%SystemRoot%\System32\dsregcmd.exe /checkrecovery,scheduled-task,\Microsoft\Windows\Workplace Join\Recovery-Check,system,false,logon,os,high,true,false,false,,,267011,
task|system|scheduled-task|RegisterUserDevice,task,RegisterUserDevice,COM handler {AE31B729-D5FD-401E-AF42-784074835AFE} -RegisterUserDevice -NewAccount,scheduled-task,\Microsoft\Windows\DeviceDirectoryClient\RegisterUserDevice,system,false,logon,os,high,true,false,false,2026-07-23T14:45:13.0000000+03:00,,0,
task|system|scheduled-task|RemediateHardwareChange,task,RemediateHardwareChange,COM handler {62B2DD2C-F129-42EE-BF59-55D3FD21C215} RemediateHardwareChange,scheduled-task,\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,system,false,boot,os,high,true,false,false,,,267011,"$(@%SystemRoot%\system32\Autopilot.dll,-600)"
task|system|scheduled-task|Retry,task,Retry,%windir%\system32\ProvTool.exe /turn 5 /source ProvRetryTask,scheduled-task,\Microsoft\Windows\Management\Provisioning\Retry,system,false,boot,os,high,true,false,false,,,267011,
startup|system|registry-run|RtkAudUService,startup,RtkAudUService,"""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_04ff63d068f8c626\RtkAudUService64.exe"" -background",registry-run,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,system,true,logon,driver,medium,true,true,true,,,,
task|system|scheduled-task|RunOnReboot,task,RunOnReboot,%windir%\system32\ProvTool.exe /turn 5 /source ContinueSessionTask,scheduled-task,\Microsoft\Windows\Management\Provisioning\RunOnReboot,system,false,boot,os,high,true,false,false,,,267011,
task|system|scheduled-task|Secure-Boot-Update,task,Secure-Boot-Update,COM handler {5014B7C8-934E-4262-9816-887FA745A6C4} SBServicing,scheduled-task,\Microsoft\Windows\PI\Secure-Boot-Update,system,true,boot,updater,low,true,false,false,2026-09-13T07:41:38.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|SmartRetry,task,SmartRetry,COM handler {F3A219C3-2698-4CBF-9C07-037EDB8E72E6},scheduled-task,\Microsoft\Windows\InstallService\SmartRetry,system,true,boot,os,high,true,false,false,2026-09-12T17:13:48.0000000+03:00,,0,
task|system|scheduled-task|SpaceAgentTask,task,SpaceAgentTask,%windir%\system32\SpaceAgent.exe,scheduled-task,\Microsoft\Windows\SpacePort\SpaceAgentTask,system,true,boot,os,high,true,false,false,,,267011,Microsoft Corporation
task|system|scheduled-task|SpaceManagerTask,task,SpaceManagerTask,%windir%\system32\spaceman.exe /Work,scheduled-task,\Microsoft\Windows\SpacePort\SpaceManagerTask,system,true,boot,os,high,true,false,false,,,267011,"$(@%SystemRoot%\system32\spaceman.exe,-2)"
task|system|scheduled-task|SvcRestartTaskLogon,task,SvcRestartTaskLogon,COM handler {B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC} logon,scheduled-task,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskLogon,system,false,logon,os,high,true,false,false,2026-07-07T10:30:54.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|Synchronize Language Settings,task,Synchronize Language Settings,COM handler {10D62541-90D0-42FE-848C-0DBC1AC42EDA} SyncFromCloud,scheduled-task,\Microsoft\Windows\International\Synchronize Language Settings,system,true,logon,os,high,true,false,false,2026-09-13T07:37:18.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|SystemSoundsService,task,SystemSoundsService,COM handler {2DEA658F-54C1-4227-AF9B-260AB5FC3543},scheduled-task,\Microsoft\Windows\Multimedia\SystemSoundsService,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,267009,
task|system|scheduled-task|SystemTask,task,SystemTask,COM handler {58FB76B9-AC85-4E55-AC04-427593B1D060} SYSTEM,scheduled-task,\Microsoft\Windows\CertificateServicesClient\SystemTask,system,true,boot,os,high,true,false,false,2026-09-13T09:31:09.0000000+03:00,,0,Microsoft Corporation
task|system|scheduled-task|UCPD velocity,task,UCPD velocity,%windir%\system32\UCPDMgr.exe,scheduled-task,\Microsoft\Windows\AppxDeploymentClient\UCPD velocity,system,false,logon,os,high,true,false,false,2026-07-21T12:50:00.0000000+03:00,,0,
task|system|scheduled-task|UserTask,task,UserTask,COM handler {58FB76B9-AC85-4E55-AC04-427593B1D060} USER,scheduled-task,\Microsoft\Windows\CertificateServicesClient\UserTask,system,true,logon,os,high,true,false,false,2026-09-13T07:36:48.0000000+03:00,,0,Microsoft Corporation
